filename,Title,Artist,Year,Link,Copyright,Institution,Fag
ANSK05252.jpg,Åbenbaringen for disciplene,40 Bibelske Billeder,1870,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1659131/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Religion
ANSK15145.jpg,"Plan over Kjöbenhavn (til ""Veiviser for Reisende"""")""",Ukendt,1862,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1670769/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Geografi
ANSK06761.jpg,Jordkloden m/navne,Geographitabel,1820,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1655967/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Geografi
ANSK15963.jpg,Fugle,Bilder zum Anschauungsunterricht für die Jugend. 2. Teil,1891,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1669457/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Anskuelsesundervisning
ANSK04431.jpg,Den store komet fra 1811 (billedbeskrivelse på tysk),"Bilderbuch für Kinder : enthaltend eine angenehme Sammlung von Thieren, Pflanzen, Blumen, Früchten, Mineralien, Trachten und allerhand andern unterrichtenden Gegenständen aus dem Reiche der Natur, der Künste und Wissenschaften",1811,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object2299346/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Børnebøger
ANSK16275.jpg,Pattedyr 2,Bilder zum Anschauungsunterricht für die Jugend,1867,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1669319/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Anskuelsesundervisning
ANSK04723.jpg,Moses slår vand af klippen,Nelson's Bible Wall-Pictures,1910,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1669511/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Religion
ANSK05910.jpg,Lænkehunden,Danske Billeder fra Land og By,1910,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1657726/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Anskuelsesundervisning
ANSK08748.jpg,"Eremitkrebs, krabber m.v.",Meinholds Wanderbilder für den Unterricht in der Zoologie,1909,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1656774/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Zoologi
ANSK12282.jpg,Sukkerfabrikation,Eschners teknologiske tavler,1910,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1656612/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Fysik
ANSK07553.jpg,Indianske arbejdere og landsbyfolk,Sydamerikansk billedsamling,1865,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1656364/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Geografi
ANSK05530.jpg,Manna samles i ørkenen,Ukendt,1937,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1659884/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Religion
ANSK08521.jpg,Tarmløse,Dybdahls Zoologiske Plancher,1881,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1660541/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Zoologi
ANSK05562.jpg,Børn der leger,Reimer og Wilke 1. udg.,1837,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1653184/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Døvstumme undervisning
ANSK05753.jpg,Metalgenstande,Lummel,1841,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1659284/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Anskuelsesundervisning
ANSK09566.jpg,"Sumpskilpadde, græsk landskildpadde.",Engleders Wandtafeln für den naturkundlichen Unterricht,1860,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1652162/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Zoologi
ANSK05201.jpg,Jesu barneår i Nazareth,The Life of Jesus of Nazareth,1930,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1658456/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Religion
